roi,x,1,2
0,0.389891697,0.633442601,0.595011168
0,0.393501805,0.603232815,0.615329919
0,0.397111913,0.637520252,0.646285669
0,0.400722022,0.605807513,0.595133268
0,0.40433213,0.610986214,0.593150951
0,0.407942238,0.598041555,0.586306211
0,0.411552347,0.590664942,0.64933815
0,0.415162455,0.592398153,0.689530349
0,0.418772563,0.587148282,0.714467324
0,0.422382671,0.551642573,0.739289382
0,0.42599278,0.527980474,0.709173963
0,0.429602888,0.511075386,0.726023659
0,0.433212996,0.500529592,0.723524215
0,0.436823105,0.49831912,0.758947361
0,0.440433213,0.490929947,0.758609792
0,0.444043321,0.49378514,0.767738507
0,0.44765343,0.463583728,0.74734075
0,0.451263538,0.444518406,0.73402475
0,0.454873646,0.408631726,0.748604837
0,0.458483755,0.400355015,0.691096092
0,0.462093863,0.391580111,0.66069338
0,0.465703971,0.381859057,0.636754746
0,0.469314079,0.356199997,0.556858746
0,0.472924188,0.344063333,0.554050463
0,0.476534296,0.333622202,0.558884157
0,0.480144404,0.34397123,0.571977505
0,0.483754513,0.351414828,0.618612234
0,0.487364621,0.360055764,0.664672379
0,0.490974729,0.377500911,0.654143115
0,0.494584838,0.374000996,0.620149248
0,0.498194946,0.393845007,0.63829176
0,0.501805054,0.360997727,0.648986217
0,0.505415162,0.352147465,0.665333151
0,0.509025271,0.350037469,0.706473415
0,0.512635379,0.354726349,0.747879423
0,0.516245487,0.345038788,0.780250088
0,0.519855596,0.3594864,0.776946226
0,0.523465704,0.320614746,0.847390308
0,0.527075812,0.302529065,0.929340449
0,0.530685921,0.308737645,0.944717771
0,0.534296029,0.317868402,0.942527167
0,0.537906137,0.328033224,0.978668544
0,0.541516245,0.345867715,1
0,0.545126354,0.346470571,0.95638184
0,0.548736462,0.34355258,0.929958127
0,0.55234657,0.321636252,0.912720587
0,0.555956679,0.329134274,0.850593618
0,0.559566787,0.32101665,0.797882655
0,0.563176895,0.295416201,0.767558949
0,0.566787004,0.26206654,0.71010048
0,0.570397112,0.263849989,0.659716586
0,0.57400722,0.22383542,0.643154183
0,0.577617329,0.237433173,0.643168547
0,0.581227437,0.215265654,0.681629809
0,0.584837545,0.213226829,0.675151367
0,0.588447653,0.180484211,0.668443091
0,0.592057762,0.186583941,0.674232032
0,0.59566787,0.19290137,0.731984975
0,0.599277978,0.195522119,0.766065029
0,0.602888087,0.196924597,0.809683188
0,0.606498195,0.176368881,0.813583182
0,0.610108303,0.195371405,0.807521314
0,0.613718412,0.203857441,0.792632388
0,0.61732852,0.220490407,0.755693775
0,0.620938628,0.236687976,0.752440189
0,0.624548736,0.237362002,0.74631368
0,0.628158845,0.234113278,0.741652362
0,0.631768953,0.234615658,0.742234129
0,0.635379061,0.231618124,0.76809044
0,0.63898917,0.240928901,0.769060051
0,0.642599278,0.251056045,0.795979344
0,0.646209386,0.270251148,0.766452873
0,0.649819495,0.275287508,0.734742981
0,0.653429603,0.286704094,0.68225467
0,0.657039711,0.269974839,0.66333647
0,0.660649819,0.268614227,0.687964606
0,0.664259928,0.295194316,0.701797732
0,0.667870036,0.287733973,0.679187825
0,0.671480144,0.279252124,0.695484483
0,0.675090253,0.289877461,0.697208237
0,0.678700361,0.276719291,0.672493913
0,0.682310469,0.281872873,0.663379563
0,0.685920578,0.268965893,0.661153048
0,0.689530686,0.240455826,0.65730333
0,0.693140794,0.228683388,0.660434817
0,0.696750903,0.222977188,0.651550301
0,0.700361011,0.195538865,0.657921009
0,0.703971119,0.201952584,0.736430824
0,0.707581227,0.202417285,0.781585997
0,0.711191336,0.189321913,0.75449433
0,0.714801444,0.190360165,0.750429143
0,0.718411552,0.162440395,0.748892129
0,0.722021661,0.1598029,0.74640705
0,0.725631769,0.140641288,0.760419734
0,0.729241877,0.147440164,0.753036321
0,0.732851986,0.140210079,0.737738004
0,0.736462094,0.129325178,0.716068979
0,0.740072202,0.116577285,0.692755205
0,0.74368231,0.136697605,0.679575669
0,0.747292419,0.114592884,0.661512163
0,0.750902527,0.110799915,0.626979624
0,0.754512635,0.116137702,0.587534385
0,0.758122744,0.127545915,0.597668623
0,0.761732852,0.132565529,0.58885593
0,0.76534296,0.125343816,0.579310642
0,0.768953069,0.126013656,0.590665872
0,0.772563177,0.144953383,0.615006715
0,0.776173285,0.151279185,0.622217753
